cod_natoperacao	classif_cfop	descricao_tiponatureza	Venda	Compra	Devolucao	Remessa	Retorno
2551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
2911-001	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-002	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-003	SERVIÇO	SERVIÇOS	N	S	N	N	N
5119-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5201-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
2102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1916-001	RETORNO	RETORNO DE CONSERTO	N	N	N	N	S
1933-012	SERVIÇO	SERVIÇOS	N	S	N	N	N
2653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5922-999	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
6118-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6201-004	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
1920-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2903-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
2920-001	DEVOLUÇÃO	REMESSA PARA EMPRESTIMO	N	N	N	N	N
2933-004	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-005	SERVIÇO	SERVIÇOS	N	S	N	N	N
5202-999	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	N	N	N
5921-001	DEVOLUÇÃO	REMESSA PARA EMPRESTIMO	N	N	S	N	N
2101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
2201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2933-006	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-009	SERVIÇO	SERVIÇOS	N	S	N	N	N
2949-999	OUTROS	COMPRA MERCADO INTERNO	N	S	N	N	N
5915-999	REMESSA	VENDA MERCADO INTERNO	S	N	N	N	N
1101-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2352-004	TRANSPORTE	FRETE	N	S	N	N	N
5102-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5201-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5201-003	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5908-999	REMESSA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6107-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5102-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5202-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6109-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6118-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6912-999	REMESSA	VENDA MERCADO INTERNO	S	N	N	N	N
1116-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5118-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5122-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5905-002	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
5915-001	REMESSA	REMESSA PARA CONSERTO	N	N	N	S	N
6101-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6117-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
1124-001	INDUSTRIALIZAÇÃO	SERVIÇO DE BENEFICIAMENTO	N	S	N	N	N
1901-001	ENTRADA	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
1920-001	ENTRADA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
1933-010	SERVIÇO	SERVIÇOS	N	S	N	N	N
1949-005	OUTROS	SIMPLES REMESSA	N	N	N	S	N
5102-005	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
5122-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5922-001	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
1102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1933-009	SERVIÇO	SERVIÇOS	N	S	N	N	N
2101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5923-002	REMESSA	SIMPLES REMESSA	N	N	N	S	N
6201-003	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6922-001	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
1201-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1933-007	SERVIÇO	SERVIÇOS	N	S	N	N	N
2102-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2124-001	INDUSTRIALIZAÇÃO	SERVIÇO DE BENEFICIAMENTO	N	S	N	N	N
2203-999	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	N	N	N
5117-003	VENDA	SIMPLES REMESSA	N	N	N	S	N
6122-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6901-001	REMESSA	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
1201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5101-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5208-999	DEVOLUÇÃO	VENDA MERCADO INTERNO	N	N	N	N	N
5921-999	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	N	N	N
6902-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
1122-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1551-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2924-999	ENTRADA	COMPRA MERCADO INTERNO	N	S	N	N	N
5116-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
5901-999	REMESSA	VENDA MERCADO INTERNO	S	N	N	N	N
5949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
6915-999	REMESSA	REMESSA PARA CONSERTO	N	N	N	S	N
1201-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2352-003	TRANSPORTE	FRETE	N	S	N	N	N
5116-003	VENDA	SIMPLES REMESSA	N	N	N	S	N
5201-999	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	N	N	N
5949-999	OUTROS	VENDA MERCADO INTERNO	S	N	N	N	N
6101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6916-999	RETORNO	VENDA MERCADO INTERNO	S	N	N	N	N
1201-004	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5102-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5125-999	INDUSTRIALIZAÇÃO	VENDA MERCADO INTERNO	S	N	N	N	N
6102-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6116-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
6116-002	VENDA	SIMPLES REMESSA	N	N	N	S	N
6117-003	VENDA	SIMPLES REMESSA	N	N	N	S	N
6922-999	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
1201-999	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	N	N	N
5119-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6119-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1202-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5118-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5922-002	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
6116-003	VENDA	SIMPLES REMESSA	N	N	N	S	N
6119-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6922-003	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
1202-999	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	N	N	N
2201-999	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	N	N	N
5116-002	VENDA	SIMPLES REMESSA	N	N	N	S	N
5117-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
5119-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5911-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
5923-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1302-001	COMUNICAÇÃO	SERVIÇOS	N	N	N	N	N
1933-002	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-006	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-008	SERVIÇO	SERVIÇOS	N	S	N	N	N
1949-003	OUTROS	SIMPLES REMESSA	N	N	N	S	N
2556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2933-007	SERVIÇO	SERVIÇOS	N	S	N	N	N
5911-999	REMESSA	VENDA MERCADO INTERNO	S	N	N	N	N
1302-002	COMUNICAÇÃO	SERVIÇOS	N	N	N	N	N
2916-001	RETORNO	RETORNO DE CONSERTO	N	N	N	N	S
5117-002	VENDA	SIMPLES REMESSA	N	N	N	S	N
5924-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
6102-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6915-001	REMESSA	REMESSA PARA CONSERTO	N	N	N	S	N
5124-001	INDUSTRIALIZAÇÃO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
1252-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1352-005	TRANSPORTE	FRETE	N	S	N	N	N
1949-999	OUTROS	COMPRA MERCADO INTERNO	N	S	N	N	N
5903-999	RETORNO	VENDA MERCADO INTERNO	S	N	N	N	N
6122-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-999	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2901-000	RETORNO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
1303-001	COMUNICAÇÃO	SERVIÇOS	N	N	N	N	N
5905-001	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
5922-003	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-005	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6102-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-005	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6118-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6201-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
1101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
6124-001	INDUSTRIALIZAÇÃO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
6413-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6119-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1101-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-999	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1407-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
1653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-004	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1352-001	TRANSPORTE	FRETE	N	S	N	N	N
1909-999	RETORNO	COMPRA MERCADO INTERNO	N	S	N	N	N
1911-001	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
1933-003	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-011	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-008	SERVIÇO	SERVIÇOS	N	S	N	N	N
5123-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5949-002	OUTROS	SIMPLES REMESSA	N	N	N	S	N
1352-002	TRANSPORTE	FRETE	N	S	N	N	N
1352-003	TRANSPORTE	FRETE	N	S	N	N	N
1352-004	TRANSPORTE	FRETE	N	S	N	N	N
1407-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
6949-005	OUTROS	VENDA MERCADO INTERNO	S	N	N	N	N
6910-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
5910-002	REMESSA	SIMPLES REMESSA	N	N	N	S	N
5123-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6910-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
5101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2102-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5910-001	REMESSA	BONIFICAÇÃO	N	N	N	S	N
2201-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1906-002	RETORNO	SIMPLES REMESSA	N	N	N	S	N
5102-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6117-999	VENDA	SIMPLES REMESSA	N	N	N	S	N
2922-001	RETORNO	COMPRA MERCADO INTERNO	N	S	N	N	N
2949-003	OUTROS	COMPRA MERCADO INTERNO	N	S	N	N	N
1906-001	RETORNO	RETORNO DE EMPRESTIMO	N	N	N	N	S
2922-002	RETORNO	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-004	COMPRA	COMPLEMENTO DE PRECO	N	S	N	N	N
2201-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1911-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2910-001	RETORNO	SIMPLES REMESSA	N	N	N	S	N
6101-005	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
2653-004	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-006	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5202-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
2202-005	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5949-005	OUTROS	VENDA MERCADO INTERNO	S	N	N	N	N
5202-003	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
2204-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5949-006	OUTROS	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
1933-013	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-033	SERVIÇO	SERVIÇOS	N	S	N	N	N
5117-003	VENDA	SIMPLES REMESSA	N	N	N	S	N
1933-035	SERVIÇO	SERVIÇOS	N	S	N	N	N
5949-007	OUTROS	SIMPLES REMESSA	N	N	N	S	N
2122-001	COMPRA	REMESSA POR CONTA E ORDEM	N	N	N	S	N
2122-002	COMPRA	REMESSA POR CONTA E ORDEM	N	N	N	S	N
1202-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2352-010	TRANSPORTE	FRETE	N	S	N	N	N
6949-006	OUTROS	SIMPLES REMESSA	N	N	N	S	N
2101-011	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-012	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5910-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
2101-009	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-010	COMPRA	DEVOLUCAO DE VENDA	N	N	S	N	N
6152-004	TRANSFERÊNCIA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
2152-005	TRANSFERÊNCIA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6923-002	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1102-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2407-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2501-001	ENTRADA	COMPRA MERCADO INTERNO	N	S	N	N	N
1933-033	SERVIÇO	SERVIÇOS	N	S	N	N	N
3102-002	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
1933-034	SERVIÇO	SERVIÇOS	N	S	N	N	N
2352-009	TRANSPORTE	FRETE	N	S	N	N	N
5927-001	BAIXA DE ESTOQUE	SIMPLES REMESSA	N	N	N	S	N
5551-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1407-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2152-006	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
1152-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5909-001	REMESSA	RETORNO DE EMPRESTIMO	N	N	N	N	S
6202-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
3102-007	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
6152-003	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2152-004	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
5101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2102-006	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2201-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
6102-007	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1152-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
1905-001	ENTRADA	TRANSFERENCIA ENTRE FILIAIS	N	S	N	N	N
6152-005	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
1908-001	ENTRADA	RETORNO DE EMPRESTIMO	N	N	N	N	S
1949-003	OUTROS	SIMPLES REMESSA	N	N	N	S	N
5101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-006	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6152-004	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
5152-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
5152-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6101-005	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
2201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
3102-019	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
2201-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
3102-020	COMPRA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
2933-011	SERVIÇO	SERVIÇOS	N	S	N	N	N
3102-008	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5201-003	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5909-001	RETORNO	REMESSA PARA EMPRESTIMO	N	N	N	S	S
5908-002	REMESSA	COMPLEMENTO DE PRECO	N	N	N	S	N
5909-002	RETORNO	COMPLEMENTO DE PRECO	N	N	N	N	S
2949-005	OUTROS	SIMPLES REMESSA	N	N	N	S	N
5102-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1949-004	OUTROS	SIMPLES REMESSA	N	N	N	S	N
1949-005	OUTROS	SIMPLES REMESSA	N	N	N	S	N
